Praha,1257158,161294,889974,205890,41.6,,0.128,0.708,0.164
Benešov,94652,13929,65996,14727,40.9,,0.147,0.697,0.156
Beroun,85081,13182,58908,12991,40.4,,0.155,0.692,0.153
Kladno,160742,24337,111723,24682,40.5,,0.151,0.695,0.154
Kolín,95764,14276,66122,15366,40.9,,0.149,0.690,0.160
Kutná Hora,75004,10318,52392,12294,41.5,,0.138,0.699,0.164
Mělník,102628,15492,72138,14998,40.1,,0.151,0.703,0.146
Mladá Boleslav,122816,17970,87260,17586,40.1,,0.146,0.710,0.143
Nymburk,92679,14715,63824,14140,40.1,,0.159,0.689,0.153
Praha-východ,146403,26135,101594,18674,38.3,,0.179,0.694,0.128
Praha-západ,120990,22391,83554,15045,38.1,,0.185,0.691,0.124
Příbram,112578,16161,78945,17472,41,,0.144,0.701,0.155
Rakovník,55641,7801,39367,8473,40.9,,0.140,0.708,0.152
České Budějovice,187799,27185,132144,28470,40.7,,0.145,0.704,0.152
Český Krumlov,61706,9814,44007,7885,39.2,,0.159,0.713,0.128
Jindřichův Hradec,93180,13431,65338,14411,41,,0.144,0.701,0.155
Písek,70673,9912,48564,12197,41.9,,0.140,0.687,0.173
Prachatice,51471,7763,36413,7295,40.1,,0.151,0.707,0.142
Strakonice,70807,10089,49250,11468,41.2,,0.142,0.696,0.162
Tábor,103070,14521,71274,17275,41.7,,0.141,0.692,0.168
Domažlice,60780,9084,42770,8926,40.5,,0.149,0.704,0.147
Klatovy,88641,12513,61526,14602,41.5,,0.141,0.694,0.165
Plzeň-město,184885,24126,127972,32787,42.1,,0.130,0.692,0.177
Plzeň-jih,61655,8962,42894,9799,41.1,,0.145,0.696,0.159
Plzeň-sever,75470,11616,52825,11029,40.1,,0.154,0.700,0.146
Rokycany,47207,6507,32832,7868,41.6,,0.138,0.695,0.167
Tachov,53407,8028,38686,6693,39.3,,0.150,0.724,0.125
Cheb,95321,14366,67815,13140,40.1,,0.151,0.711,0.138
Karlovy Vary,119289,16574,84094,18621,41.2,,0.139,0.705,0.156
Sokolov,92834,14176,66158,12500,39.6,,0.153,0.713,0.135
Děčín,135238,21011,95162,19065,40.1,,0.155,0.704,0.141
Chomutov,127218,19363,91809,16046,39.4,,0.152,0.722,0.126
Litoměřice,117941,17799,82166,17976,40.7,,0.151,0.697,0.152
Louny,87220,13441,61594,12185,40,,0.154,0.706,0.140
Most,116797,17482,83135,16180,39.9,,0.150,0.712,0.139
Teplice,129932,19988,91494,18450,40,,0.154,0.704,0.142
Ústí nad Labem,121699,19128,85483,17088,39.9,,0.157,0.702,0.140
Česká Lípa,104278,16491,74803,12984,39.2,,0.158,0.717,0.125
Jablonec nad Nisou,90569,13289,63448,13832,40.8,,0.147,0.701,0.153
Liberec,170410,25805,119708,24897,40.3,,0.151,0.702,0.146
Semily,74685,10762,51244,12679,41.4,,0.144,0.686,0.170
Hradec Králové,163378,22848,112296,28234,41.8,,0.140,0.687,0.173
Jičín,80165,11330,55750,13085,41.3,,0.141,0.695,0.163
Náchod,112294,16902,76614,18778,41.1,,0.151,0.682,0.167
Rychnov nad Kněžnou,79152,11992,54550,12610,40.7,,0.152,0.689,0.159
Trutnov,119814,17552,83547,18715,41.1,,0.146,0.697,0.156
Chrudim,104395,15295,72431,16669,40.9,,0.147,0.694,0.160
Pardubice,168446,23559,117163,27724,41.4,,0.140,0.696,0.165
Svitavy,105209,15889,73369,15951,40.4,,0.151,0.697,0.152
Ústí nad Orlicí,139114,21272,96795,21047,40.3,,0.153,0.696,0.151
Havlíčkův Brod,95679,13738,66307,15634,41.1,,0.144,0.693,0.163
Jihlava,112707,16517,78906,17284,40.6,,0.147,0.700,0.153
Pelhřimov,72875,10149,50057,12669,41.8,,0.139,0.687,0.174
Třebíč,113590,16323,79698,17569,40.6,,0.144,0.702,0.155
Žďár nad Sázavou,119718,17971,83045,18702,40.2,,0.150,0.694,0.156
Blansko,106884,15511,74025,17348,40.9,,0.145,0.693,0.162
Brno-město,371371,48582,256490,66299,42.2,,0.131,0.691,0.179
Brno-venkov,203216,31750,139816,31650,40.2,,0.156,0.688,0.156
Břeclav,113842,15917,81118,16807,40.7,,0.140,0.713,0.148
Hodonín,156524,21173,110819,24532,41.1,,0.135,0.708,0.157
Vyškov,89097,12999,62436,13662,40.5,,0.146,0.701,0.153
Znojmo,113720,16633,80695,16392,40.3,,0.146,0.710,0.144
Jeseník,41095,5811,29329,5955,40.8,,0.141,0.714,0.145
Olomouc,232226,33341,162763,36122,40.8,,0.144,0.701,0.156
Prostějov,110182,15893,76174,18115,41.1,,0.144,0.691,0.164
Přerov,133932,18834,93237,21861,41.1,,0.141,0.696,0.163
Šumperk,124246,17916,87104,19226,40.9,,0.144,0.701,0.155
Kroměříž,108055,14776,75734,17545,41.4,,0.137,0.701,0.162
Uherské Hradiště,144203,20046,100574,23583,41.2,,0.139,0.697,0.164
Vsetín,145464,21006,101570,22888,40.7,,0.144,0.698,0.157
Zlín,192639,26923,134026,31690,41.4,,0.140,0.696,0.165
Bruntál,97369,14231,69673,13465,40.3,,0.146,0.716,0.138
Frýdek-Místek,212100,30986,149136,31978,40.5,,0.146,0.703,0.151
Karviná,270412,37409,191128,41875,40.8,,0.138,0.707,0.155
Nový Jičín,152524,22871,107668,21985,40,,0.150,0.706,0.144
Opava,177236,25983,124629,26624,40.5,,0.147,0.703,0.150
Ostrava-město,333579,46987,233725,52867,41,,0.141,0.701,0.158
