statistics_code,statistics_name,value,date,classification,county_code,county_name,country_code,country_name
unemployment,Unemployment,6.14,2010,unemployment,benesov,Benešov,cz,Czechia
unemployment,Unemployment,7.69,2010,unemployment,beroun,Beroun,cz,Czechia
unemployment,Unemployment,10.31,2010,unemployment,blansko,Blansko,cz,Czechia
unemployment,Unemployment,8.56,2010,unemployment,brno-mesto,Brno-město,cz,Czechia
unemployment,Unemployment,8.86,2010,unemployment,brno-venkov,Brno-venkov,cz,Czechia
unemployment,Unemployment,17.85,2010,unemployment,bruntal,Bruntál,cz,Czechia
unemployment,Unemployment,13.26,2010,unemployment,breclav,Břeclav,cz,Czechia
unemployment,Unemployment,12.38,2010,unemployment,ceska-lipa,Česká Lípa,cz,Czechia
unemployment,Unemployment,6.47,2010,unemployment,ceske-budejovice,České Budějovice,cz,Czechia
unemployment,Unemployment,11.41,2010,unemployment,cesky-krumlov,Český Krumlov,cz,Czechia
unemployment,Unemployment,15.71,2010,unemployment,decin,Děčín,cz,Czechia
unemployment,Unemployment,9.83,2010,unemployment,domazlice,Domažlice,cz,Czechia
unemployment,Unemployment,9.51,2010,unemployment,frydek-mistek,Frýdek-Místek,cz,Czechia
unemployment,Unemployment,10.23,2010,unemployment,havlickuv-brod,Havlíčkův Brod,cz,Czechia
unemployment,Unemployment,16.35,2010,unemployment,hodonin,Hodonín,cz,Czechia
unemployment,Unemployment,7.43,2010,unemployment,hradec-kralove,Hradec Králové,cz,Czechia
unemployment,Unemployment,9.72,2010,unemployment,cheb,Cheb,cz,Czechia
unemployment,Unemployment,13.27,2010,unemployment,chomutov,Chomutov,cz,Czechia
unemployment,Unemployment,11.48,2010,unemployment,chrudim,Chrudim,cz,Czechia
unemployment,Unemployment,10.02,2010,unemployment,jablonec-nad-nisou,Jablonec nad Nisou,cz,Czechia
unemployment,Unemployment,19.69,2010,unemployment,jesenik,Jeseník,cz,Czechia
unemployment,Unemployment,8.80,2010,unemployment,jicin,Jičín,cz,Czechia
unemployment,Unemployment,9.58,2010,unemployment,jihlava,Jihlava,cz,Czechia
unemployment,Unemployment,8.18,2010,unemployment,jindrichuv-hradec,Jindřichův Hradec,cz,Czechia
unemployment,Unemployment,10.90,2010,unemployment,karlovy-vary,Karlovy Vary,cz,Czechia
unemployment,Unemployment,14.27,2010,unemployment,karvina,Karviná,cz,Czechia
unemployment,Unemployment,9.17,2010,unemployment,kladno,Kladno,cz,Czechia
unemployment,Unemployment,10.22,2010,unemployment,klatovy,Klatovy,cz,Czechia
unemployment,Unemployment,10.37,2010,unemployment,kolin,Kolín,cz,Czechia
unemployment,Unemployment,12.65,2010,unemployment,kromeriz,Kroměříž,cz,Czechia
unemployment,Unemployment,9.95,2010,unemployment,kutna-hora,Kutná Hora,cz,Czechia
unemployment,Unemployment,10.12,2010,unemployment,liberec,Liberec,cz,Czechia
unemployment,Unemployment,11.48,2010,unemployment,litomerice,Litoměřice,cz,Czechia
unemployment,Unemployment,12.36,2010,unemployment,louny,Louny,cz,Czechia
unemployment,Unemployment,8.95,2010,unemployment,melnik,Mělník,cz,Czechia
unemployment,Unemployment,5.00,2010,unemployment,mlada-boleslav,Mladá Boleslav,cz,Czechia
unemployment,Unemployment,16.51,2010,unemployment,most,Most,cz,Czechia
unemployment,Unemployment,8.71,2010,unemployment,nachod,Náchod,cz,Czechia
unemployment,Unemployment,11.38,2010,unemployment,novy-jicin,Nový Jičín,cz,Czechia
unemployment,Unemployment,10.67,2010,unemployment,nymburk,Nymburk,cz,Czechia
unemployment,Unemployment,11.17,2010,unemployment,olomouc,Olomouc,cz,Czechia
unemployment,Unemployment,11.36,2010,unemployment,opava,Opava,cz,Czechia
unemployment,Unemployment,11.98,2010,unemployment,ostrava-mesto,Ostrava-město,cz,Czechia
unemployment,Unemployment,7.02,2010,unemployment,pardubice,Pardubice,cz,Czechia
unemployment,Unemployment,7.78,2010,unemployment,pelhrimov,Pelhřimov,cz,Czechia
unemployment,Unemployment,8.17,2010,unemployment,pisek,Písek,cz,Czechia
unemployment,Unemployment,6.73,2010,unemployment,plzen-jih,Plzeň-jih,cz,Czechia
unemployment,Unemployment,6.44,2010,unemployment,plzen-mesto,Plzeň-město,cz,Czechia
