county_code,cssd,kscm,top-09,ano,kdu-csl
kutna-hora,0,0,0,0,0
rokycany,0,0,0,0,0
kromeriz,0,0,0,0,1
louny,0,1,0,0,0
mlada-boleslav,0,0,0,0,0
brno-venkov,0,0,0,0,1
ceska-lipa,0,0,0,0,0
usti-nad-labem,0,0,0,0,0
prachatice,0,0,0,0,0
pardubice,0,0,0,1,0
hodonin,0,0,0,0,1
znojmo,-1,-1,-1,-1,1
teplice,0,0,0,0,0
plzen-jih,0,0,0,0,0
strakonice,0,0,0,0,0
domazlice,0,0,0,0,0
rakovnik,0,1,0,0,0
cheb,0,0,0,0,0
tachov,0,0,0,0,0
jicin,0,0,1,0,0
nachod,0,0,0,0,1
praha,0,0,1,0,0
zlin,0,0,0,0,1
decin,0,0,0,0,0
kolin,0,0,0,0,0
jihlava,0,0,0,0,1
litomerice,0,0,0,0,0
uherske-hradiste,0,0,0,0,1
karvina,1,0,0,0,0
kladno,0,0,0,0,0
novy-jicin,0,0,0,0,1
beroun,0,0,1,0,0
zdar-nad-sazavou,0,0,0,0,1
brno-mesto,0,0,1,0,1
tabor,0,0,0,0,0
breclav,0,0,0,0,1
praha-zapad,0,0,1,0,0
chomutov,0,0,0,0,0
prostejov,0,0,0,0,1
olomouc,0,0,0,0,0
bruntal,0,0,0,0,0
pribram,0,0,0,0,0
melnik,0,0,1,0,0
plzen-sever,0,0,0,0,0
semily,0,0,1,0,0
most,0,0,0,0,0
jindrichuv-hradec,0,0,0,0,0
pelhrimov,1,0,0,0,1
cesky-krumlov,0,0,0,0,0
liberec,0,0,1,0,0
karlovy-vary,0,0,0,0,0
praha-vychod,0,0,1,1,0
usti-nad-orlici,0,0,1,0,1
havlickuv-brod,0,0,0,0,1
trebic,0,0,0,0,1
svitavy,-1,-1,-1,-1,1
frydek-mistek,0,0,0,0,1
vsetin,0,0,0,0,1
jesenik,0,0,0,0,0
benesov,0,0,0,0,0
klatovy,0,0,0,0,0
plzen-mesto,0,0,1,0,0
vyskov,1,0,0,0,1
opava,0,0,0,0,1
jablonec-nad-nisou,0,0,1,0,0
ostrava-mesto,0,0,0,0,0
nymburk,0,0,0,0,0
prerov,0,0,0,0,1
blansko,1,0,0,0,1
rychnov-nad-kneznou,0,0,0,0,1
trutnov,0,0,0,0,0
hradec-kralove,0,0,1,0,0
pisek,0,0,1,0,0
sumperk,0,0,0,0,0
chrudim,0,0,0,1,0
sokolov,0,0,0,0,0
ceske-budejovice,0,0,1,0,0
